#tileset
tilesetIPMON.bmp
19 28
tile346: collision
tile347: collision
tile348: collision
tile349: collision
tile350: collision
tile351: collision
tile352: collision
tile353: collision
tile354: collision
tile355: collision
tile356: collision
tile357: collision
tile358: collision
tile359: collision
tile360: collision
tile361: collision
tile362: collision
tile363: collision
tile364: collision
tile365: collision
tile366: collision
tile367: collision
tile368: collision
tile369: collision
tile370: collision
tile371: collision
tile372: collision
tile373: collision
tile374: collision
tile375: collision
tile376: collision
tile377: collision
tile378: collision
tile379: collision
tile380: collision
tile381: collision
tile382: collision
tile383: collision
tile384: collision
tile385: collision
tile386: collision
tile387: collision
tile388: collision
tile389: collision
tile390: collision
tile391: collision
tile392: collision
tile393: collision
tile394: collision
tile395: collision
tile396: collision
tile397: collision
tile398: collision
tile399: collision
tile400: collision
tile401: collision
tile402: collision
tile403: collision
tile404: collision
tile405: collision
tile406: collision
tile407: collision
tile408: collision
tile409: collision
tile410: collision
tile411: collision
tile412: collision
tile413: collision
tile414: collision
tile415: collision
tile416: collision
tile417: collision
tile418: collision
tile419: collision
tile420: collision
tile421: collision
tile422: collision
tile423: collision
tile424: collision
tile425: collision
tile426: collision
tile427: collision
tile428: collision
tile429: collision
tile430: collision
tile431: collision
tile432: collision
tile433: collision
tile434: collision
tile435: collision
tile436: collision
tile437: collision
tile438: collision
tile439: collision
tile440: collision
tile441: collision
tile442: collision
tile443: collision
tile444: collision
tile445: collision
tile446: collision
tile447: collision
tile448: collision
tile449: collision
tile450: collision
tile451: collision
tile452: collision
tile453: collision
tile454: collision
tile455: collision
tile456: collision
tile457: collision
tile458: collision
tile459: collision
tile460: collision
tile461: collision
tile462: collision
tile463: collision
tile464: collision
tile465: collision
tile466: collision
tile467: collision
tile468: collision
tile469: collision
tile470: collision
tile471: collision
tile472: collision
tile473: collision
tile474: collision
tile475: collision
tile476: collision
tile477: collision
tile478: collision
tile479: collision
tile480: collision
tile481: collision
tile482: collision
tile483: collision
tile484: collision
tile485: collision
tile486: collision
tile487: collision
tile488: collision
tile489: collision
tile490: collision
tile491: collision
tile492: collision
tile493: collision
tile494: collision
tile495: collision
tile496: collision
tile497: collision
tile498: collision
tile499: collision
tile500: collision
tile501: collision
tile502: collision
tile503: collision
tile504: collision
tile505: collision
tile506: collision
tile507: collision
tile508: collision
tile509: collision
tile510: collision
tile511: collision
tile512: collision
tile513: collision
tile514: collision
tile515: collision
tile516: collision
tile517: collision
tile518: collision
tile519: collision
tile520: collision
tile521: collision
tile522: collision
tile523: collision
tile524: collision
tile525: collision
tile526: collision
tile527: collision
tile528: collision
tile529: collision
tile530: collision
tile531: collision
#level
72 72
1 	1 	1 	57 	58 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	
1 	1 	1 	76 	77 	1 	1 	1 	1 	4 	5 	6 	7 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	4 	5 	6 	7 	1 	1 	1 	1 	1 	1 	1 	1 	1 	
1 	1 	1 	1 	1 	1 	1 	1 	1 	23 	24 	25 	26 	1 	1 	1 	1 	1 	1 	57 	58 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	57 	58 	1 	23 	24 	25 	26 	1 	1 	1 	1 	1 	1 	1 	1 	1 	
1 	1 	1 	59 	59 	59 	59 	1 	1 	42 	43 	44 	45 	1 	1 	1 	1 	59 	1 	76 	77 	1 	1 	1 	1 	1 	1 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	1 	1 	1 	1 	1 	59 	59 	1 	1 	1 	76 	77 	1 	42 	43 	44 	45 	1 	1 	1 	1 	1 	59 	1 	1 	1 	
1 	1 	1 	59 	59 	59 	1 	1 	1 	1 	62 	63 	1 	1 	1 	1 	1 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	1 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	1 	1 	1 	62 	63 	1 	1 	1 	1 	1 	59 	59 	1 	1 	1 	
1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	1 	57 	58 	1 	57 	58 	1 	1 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	1 	1 	57 	58 	1 	59 	59 	59 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	59 	59 	1 	1 	1 	
1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	1 	76 	77 	1 	76 	77 	1 	1 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	1 	1 	76 	77 	1 	59 	59 	59 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	59 	59 	59 	59 	59 	1 	1 	1 	
57 	58 	1 	1 	59 	59 	59 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	1 	1 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	59 	59 	59 	59 	59 	59 	1 	1 	
76 	77 	1 	1 	1 	59 	59 	59 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	57 	58 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	1 	1 	1 	1 	1 	59 	59 	1 	1 	1 	1 	1 	57 	58 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	
1 	1 	1 	1 	1 	1 	59 	59 	1 	1 	0 	0 	1 	1 	1 	1 	59 	59 	1 	1 	1 	1 	1 	1 	1 	76 	77 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	59 	1 	1 	1 	1 	1 	1 	76 	77 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	
1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	
1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	59 	1 	
1 	1 	1 	1 	1 	1 	57 	58 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	59 	1 	
1 	1 	1 	1 	1 	1 	76 	77 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	4 	5 	6 	7 	1 	1 	1 	1 	0 	0 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	59 	59 	59 	59 	59 	1 	
1 	1 	1 	59 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	23 	24 	25 	26 	1 	1 	1 	1 	0 	0 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	59 	59 	1 	59 	1 	
1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	1 	1 	57 	58 	1 	1 	1 	1 	1 	1 	42 	43 	44 	45 	1 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	1 	57 	58 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	57 	58 	1 	1 	1 	1 	1 	1 	1 	
1 	1 	59 	59 	59 	59 	59 	59 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	1 	76 	77 	1 	1 	1 	1 	1 	1 	1 	62 	63 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	1 	76 	77 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	0 	0 	1 	76 	77 	1 	1 	1 	1 	1 	1 	1 	
1 	1 	59 	59 	59 	59 	59 	59 	1 	1 	0 	0 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	59 	1 	1 	1 	1 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	
57 	58 	1 	1 	1 	59 	59 	59 	1 	1 	0 	0 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	
76 	77 	1 	1 	1 	1 	59 	1 	1 	1 	0 	0 	1 	1 	1 	1 	59 	1 	1 	57 	58 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	1 	57 	58 	1 	1 	1 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	57 	58 	1 	1 	
1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	59 	1 	1 	76 	77 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	76 	77 	1 	1 	1 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	76 	77 	1 	1 	
1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	
1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	
1 	1 	1 	1 	1 	59 	59 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	
1 	1 	1 	1 	59 	59 	59 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	4 	5 	6 	7 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	59 	1 	1 	1 	1 	1 	1 	1 	
1 	1 	59 	59 	59 	59 	59 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	59 	59 	1 	1 	57 	58 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	23 	24 	25 	26 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	59 	59 	59 	59 	59 	1 	1 	1 	
1 	1 	59 	59 	59 	59 	59 	1 	1 	1 	0 	0 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	59 	59 	59 	1 	76 	77 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	42 	43 	44 	45 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	59 	59 	59 	59 	59 	59 	59 	1 	
1 	1 	1 	1 	59 	59 	59 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	59 	59 	59 	1 	1 	1 	62 	63 	1 	1 	1 	1 	1 	57 	58 	1 	0 	0 	1 	1 	59 	59 	59 	59 	59 	59 	59 	1 	
1 	1 	1 	59 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	1 	57 	58 	1 	0 	0 	0 	0 	0 	0 	1 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	76 	77 	1 	0 	0 	1 	1 	59 	59 	59 	59 	59 	59 	59 	1 	
1 	1 	1 	59 	59 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	59 	1 	1 	1 	1 	1 	1 	59 	59 	59 	59 	59 	59 	1 	1 	76 	77 	1 	0 	0 	0 	0 	0 	0 	1 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	59 	59 	59 	59 	59 	59 	59 	1 	
1 	1 	1 	59 	1 	1 	1 	57 	58 	1 	0 	0 	1 	1 	57 	58 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	59 	59 	59 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	57 	58 	1 	1 	1 	1 	0 	0 	1 	1 	59 	59 	59 	59 	59 	59 	59 	1 	
1 	1 	1 	1 	1 	1 	1 	76 	77 	1 	0 	0 	1 	1 	76 	77 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	59 	59 	59 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	76 	77 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	59 	59 	59 	1 	1 	
1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	19 	20 	21 	22 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	57 	58 	
1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	59 	59 	59 	1 	1 	38 	39 	40 	41 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	76 	77 	
1 	1 	1 	1 	4 	5 	6 	7 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	0 	0 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	
1 	1 	1 	1 	23 	24 	25 	26 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	59 	59 	1 	59 	59 	59 	1 	1 	1 	
1 	1 	1 	1 	42 	43 	44 	45 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	59 	59 	59 	59 	59 	59 	1 	1 	
1 	1 	1 	1 	1 	62 	63 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	59 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	59 	59 	1 	0 	0 	1 	57 	58 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	59 	59 	1 	1 	0 	0 	1 	59 	59 	59 	59 	59 	59 	59 	1 	1 	
57 	58 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	59 	1 	1 	1 	0 	0 	1 	1 	59 	59 	59 	59 	59 	59 	1 	0 	0 	1 	76 	77 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	59 	59 	59 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	
76 	77 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	59 	1 	1 	1 	0 	0 	1 	1 	59 	59 	59 	59 	59 	59 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	59 	59 	59 	59 	59 	59 	59 	59 	1 	1 	0 	0 	1 	59 	59 	59 	59 	59 	59 	59 	1 	1 	
1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	59 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	57 	58 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	59 	1 	1 	1 	0 	0 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	
1 	1 	59 	59 	59 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	76 	77 	1 	1 	0 	0 	1 	59 	59 	59 	59 	59 	59 	59 	59 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	
1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	59 	59 	59 	1 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	59 	59 	59 	59 	1 	1 	1 	59 	1 	1 	1 	0 	0 	1 	1 	1 	59 	59 	59 	59 	59 	1 	1 	
1 	1 	59 	59 	59 	59 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	59 	59 	1 	1 	1 	1 	59 	1 	1 	1 	0 	0 	1 	1 	57 	58 	1 	1 	59 	59 	1 	1 	
1 	1 	59 	59 	59 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	1 	1 	76 	77 	1 	1 	1 	1 	1 	1 	
